Day,Open,High,Low,Close,Adj Close,Volume
0,11990.9178,12215.7304,11986.4843,12215.7304,12215.7304,45967427
1,12355.4728,12401.1837,12291.4664,12392.8529,12392.8529,47510854
2,12484.9762,12486.8731,12401.5962,12433.3761,12433.3761,43159245
3,12444.8003,12461.4832,12404.4045,12421.5056,12421.5056,40667732
4,12386.1738,12427.3173,12357.6117,12414.468,12414.468,40776990
5,12364.7491,12376.9424,12296.1531,12330.4277,12330.4277,42606521
6,12400.7855,12403.5381,12326.3844,12341.9252,12341.9252,34966996
7,12340.2812,12465.603,12330.2202,12460.2656,12460.2656,30779985
8,12488.3813,12545.2016,12465.1462,12532.9717,12532.9717,39885440
9,12534.5722,12537.4302,12337.0403,12370.3034,12370.3034,46119904
10,12377.1699,12386.8106,12315.6839,12353.2766,12353.2766,35820170
11,12444.5042,12454.1732,12392.1963,12454.1732,12454.1732,32413076
12,12500.3349,12607.4143,12495.9559,12604.7029,12604.7029,30434019
13,12545.0116,12569.2072,12487.9481,12500.2907,12500.2907,35398114
14,12426.8979,12467.5785,12373.7274,12384.433,12384.433,37105970
15,12357.0814,12378.21,12271.2272,12291.8255,12291.8255,40619149
16,12351.9108,12393.6393,12285.7564,12311.375,12311.375,30973731
17,12177.5097,12189.2174,12009.0247,12039.3151,12039.3151,41488779
18,12032.7144,12120.9432,11974.441,11977.2616,11977.2616,45887631
19,12202.6755,12316.2664,12168.609,12312.7747,12312.7747,48678644
20,12160.2972,12163.5718,12035.7772,12114.9385,12114.9385,44456557
21,12056.6611,12081.1358,11918.9894,11930.9036,11930.9036,50802305
22,11624.6339,11630.089,11004.2798,11281.7682,11281.7682,88127352
23,11563.1404,11748.4447,11366.4954,11376.0808,11376.0808,66197577
24,11372.6198,11506.3688,11334.9907,11461.2533,11461.2533,50467713
25,11250.4827,11251.8221,11047.1417,11185.0331,11185.0331,57344031
26,11337.6635,11361.6976,11116.5998,11133.9733,11133.9733,52282771
27,11034.828,11097.019,10878.4853,10984.4236,10984.4236,50999577
28,11162.0656,11263.7945,11122.8233,11204.2837,11204.2837,39224504
29,11186.9096,11347.9869,11157.7905,11272.1554,11272.1554,32886590
30,11486.4066,11617.083,11462.6352,11615.1748,11615.1748,30131434
31,11471.8637,11476.8307,11355.9342,11404.6478,11404.6478,27992649
32,11409.761,11507.6017,11354.8039,11424.5237,11424.5237,35328456
33,11405.4254,11410.4081,11320.0903,11377.4527,11377.4527,36709534
34,11338.6857,11397.836,11313.6613,11392.3142,11392.3142,29487207
35,11549.865,11597.8126,11500.935,11559.7741,11559.7741,25979209
36,11732.5815,11790.4179,11697.6853,11731.6328,11731.6328,33018130
37,11639.1643,11684.9795,11522.0606,11522.0606,11522.0606,41235080
38,11418.9712,11418.9712,11285.5429,11326.8629,11326.8629,42116704
39,11115.961,11129.5613,10985.2053,11033.482,11033.482,48094436
40,10991.1906,11052.0637,10933.4608,10988.2032,10988.2032,37382995
41,11184.7247,11268.8793,11180.134,11199.1358,11199.1358,36642725
42,11181.4105,11298.2202,11149.8459,11176.5511,11176.5511,35523094
43,11215.8047,11215.8047,11117.281,11153.1234,11153.1234,32925935
44,11173.7492,11323.9256,11051.2864,11109.0579,11109.0579,51511820
45,11374.1875,11449.7826,11303.2469,11373.1086,11373.1086,32930915
46,11326.3727,11443.9216,11304.6654,11443.9216,11443.9216,30603588
47,11309.3854,11369.7123,11267.3119,11315.776,11315.776,33263819
